masked,cluster
/image/<NUM>/brand,-1
/blog/sports/sport-fields/table-sports/table-football/,-1
/static/images/amp/telegram.png,-1
/static/bundle-bundle_site_head.css,-1
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www.zanbil.ir,-1
/site/alexaGooleAnalitic,-1
/static/js/accordion.js?_=<NUM>,-1
/favicon.ico,-1
/blog/home-appliances/food-preparation/grinder/,-1
/,-1
/browse/blu-ray,-1
/static/css/font_awesome/fonts/fontawesome-webfont.woff<NUM>?v=<NUM>.<NUM>.<NUM>,-1
/image/<NUM>?name=s<NUM>-alternatedefaultimage-<NUM>-<NUM>fe<NUM>eb-<NUM>c<NUM>-<NUM>f<NUM>c-afde-bc<NUM>add<NUM>ac<NUM>.jpg&wh=<NUM>x<NUM>,-1
/static/images/amp/blog.png,-1
/site/ping,-1
/image/<NUM>/mainSlideMobile,-1
/m/updateVariation?__amp_source_origin=https://www.zanbil.ir,-1
/m/search,-1
/product/<NUM>?model=<NUM>,-1
/site/enamad,-1
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org,-1
/image/<NUM>/specialSale?role=e<NUM>,-1
/static/bundle-bundle_site_defer.min.js,-1
/settings/logo,-1
/login/auth,-1
/m/prepareSearch?phrase=,-1
/manifest.json,-1
/static/css/font/wyekan/font.woff,-1
/discountLabel/get/<NUM>?type=mobileSmallIcon,-1
/amp_preconnect_polyfill_<NUM>_or_other_error_expected._Do_not_worry_about_it?<NUM>,-1
/static/images/search-category-arrow.png,-1
/robots.txt,-1
/product/<NUM>/<NUM>/مخلوط-کن-و-آسیاب-پاناسونیک-مدل-MX-GX<NUM>-W,0
/m/browse/food-preparation/آماده-سازی-غذا,0
/m/product/<NUM>/<NUM>/گوشی-موبایل-سامسونگ-مدل-Galaxy-A<NUM>-(<NUM>)-Dual-<NUM>GB-(SM-A<NUM>),0
/m/product/<NUM>/<NUM>/کتری-برقی-گاستروبک-مدل-<NUM>,0
/product/<NUM>/<NUM>/سشوار-خانگی-پرنسلی-مدل-PR<NUM>AT,0
/product/<NUM>/<NUM>/توستر-میدیا-مدل-MG<NUM>CHB,0
/blog/tag/گجت/,0
/product/<NUM>/<NUM>/فشارسنج-بازویی-ایزی-لایف-مدل-HS-<NUM>,0
/product/<NUM>/<NUM>/مایکروفر-رومیزی-ال-جی-مدل-MG<NUM>S,0
/product/<NUM>/<NUM>/سر-شور-آریا-صنعت-مدل-SN-<NUM>,0
/product/<NUM>/<NUM>/اتو-بخار-بایترون-مدل-BPV-E<NUM>,0
/product/<NUM>/<NUM>/چای-ساز-قوری-روی-کتری-فیلیپس-مدل-HD<NUM>,0
/product/<NUM>/<NUM>/گردنبند-زنانه-الیور-وبر-مدل-شبدر-خوش-شانس-چهارپر-Lucky-rhod-crystal,0
/blog/tag/ادویه/feed/,0
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-ME<NUM>,0
/m/product/<NUM>/<NUM>/گوشی-موبایل-اپل-مدل-iPhone-<NUM>-<NUM>GB,0
"/filter/p<NUM>,v<NUM>|سیلور.,v<NUM>|سفید.?o=v<NUM>",0
