masked,cluster
/image/<NUM>?name=elite-new-<NUM>.jpg&wh=<NUM>x<NUM>,-1
/m/updateVariation?__amp_source_origin=https://www.zanbil.ir,-1
/image/get?path=/Image/x<NUM>l<NUM>ghv<NUM>.jpg,-1
/image/<NUM>?name=samsung-galaxy-s<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,-1
/,-1
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org,-1
/discountLabel/get/<NUM>?type=mobileSmallIcon,-1
/m/prepareSearch?phrase=,-1
/static/bundle-bundle_site_defer.min.js,-1
/blog/sports/sport-fields/table-sports/table-football/,-1
/login/auth,-1
/static/js/accordion.js?_=<NUM>,-1
/static/bundle-bundle_site_head.css,-1
/image/<NUM>?name=-jetblack.....jpg&wh=max,-1
/image/<NUM>/article/<NUM>x<NUM>,-1
/image/<NUM>?name=iphonexs_silver.jpg&wh=max,-1
/image/<NUM>?name=gastroback-<NUM>.jpg&wh=max,-1
/favicon.ico,-1
"/filter/p<NUM>,v<NUM>|سیلور.,v<NUM>|سفید.?o=v<NUM>",-1
"/ajaxFilter/p<NUM>,b<NUM>?page=<NUM>",-1
/settings/logo,-1
/product/<NUM>?model=<NUM>,-1
/manifest.json,-1
/image/<NUM>?name=photo_<NUM>-<NUM>-<NUM>_<NUM>-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,-1
/image/<NUM>/productType/<NUM>x<NUM>,-1
/amp_preconnect_polyfill_<NUM>_or_other_error_expected._Do_not_worry_about_it?<NUM>,-1
/image/<NUM>?name=samsung-galaxy-s<NUM>-plus-<NUM>.jpg&wh=<NUM>x<NUM>,-1
/image/{{basketItem.id}}?type=productModel&wh=<NUM>x<NUM>,-1
/static/css/font/wyekan/font.woff,-1
/blog/home-appliances/food-preparation/grinder/,-1
/image/<NUM>/productModel/<NUM>x<NUM>,-1
/image/<NUM>?name=s<NUM>-alternatedefaultimage-<NUM>-<NUM>fe<NUM>eb-<NUM>c<NUM>-<NUM>f<NUM>c-afde-bc<NUM>add<NUM>ac<NUM>.jpg&wh=<NUM>x<NUM>,-1
/m/search,-1
/image/<NUM>?name=iphone-xs-<NUM>.jpg&wh=max,-1
/image/<NUM>/productTypeType,-1
/amp-helper-frame.html?appId=a<NUM>a<NUM>c<NUM>-<NUM>c<NUM>-<NUM>a-a<NUM>-e<NUM>f<NUM>e<NUM>&parentOrigin=https://www.zanbil.ir,-1
/static/css/font_awesome/fonts/fontawesome-webfont.woff<NUM>?v=<NUM>.<NUM>.<NUM>,-1
/browse/blu-ray,-1
/image/<NUM>?name=kachiran-roz<NUM>+.jpg&wh=<NUM>x<NUM>,-1
/robots.txt,-1
"/filter/stexists,p<NUM>",-1
/blog/tag/خواب/,0
/blog/tag/ادویه/feed/,0
/blog/tag/گجت/,0
/blog/tag/عطر/,0
/m/browse/refrigerator-and-freezer/یخچال-فریزر,1
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-CE<NUM>,1
/m/product/<NUM>/<NUM>/ماشین-اصلاح-صورت-پرنسلی-مدل-PR<NUM>AT,1
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-ME<NUM>,1
/m/browse/food-preparation/آماده-سازی-غذا,1
/product/<NUM>/<NUM>/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-LE-<NUM>D<NUM>,1
/product/<NUM>/<NUM>/سشوار-خانگی-پرنسلی-مدل-PR<NUM>AT,1
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-مردانه-کاترپیلار-مدل-LB.<NUM>.<NUM>.<NUM>,1
/product/<NUM>/<NUM>/صندلی-ماساژور-rain-sport-مدل-RK-<NUM>b,1
/product/<NUM>/<NUM>/توستر-میدیا-مدل-MG<NUM>CHB,1
/product/<NUM>/<NUM>/مهره-دستبند-الیور-وبر-مدل-استیل-طرح-اسپایک-متالیک-Spike-Steel-metallic,1
/product/<NUM>/<NUM>/همزن-بلک-اند-دکر-مدل-M<NUM>,1
/product/<NUM>/<NUM>/ساعت-مچی-عقربه-ای-مردانه-CASIO-مدل-EFV-<NUM>BL-<NUM>AVUDF,1
/m/product/<NUM>/<NUM>/گوشی-موبایل-سامسونگ-مدل-Galaxy-A<NUM>-(<NUM>)-Dual-<NUM>GB-(SM-A<NUM>),1
/product/<NUM>/<NUM>/مایکروفر-رومیزی-ال-جی-مدل-MG<NUM>S,1
/product/<NUM>/<NUM>/تلویزیون-ال-ای-دی-ایکس-ویژن-مدل-<NUM>XS<NUM>,1
/m/product/<NUM>/<NUM>/کتری-برقی-گاستروبک-مدل-<NUM>,1
/product/<NUM>/<NUM>/گوشواره-زنانه-الیور-وبر-مدل-کریستال-طرح-دومینو-Domino-rhod-Crystal,1
/product/<NUM>/<NUM>/دستبند-زنانه-الیور-وبر-مدل-کریستال-طلایی-طرح-مقام-Rank-rhod-crystal,1
/m/product/<NUM>/<NUM>/گوشی-موبایل-اپل-مدل-iPhone-<NUM>-<NUM>GB,1
